"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"ANTONIO JOSE IMBASSAHY DA SILVA","ANTONIO IMBASSAHY",8,1
"ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO","ANTONIO BRITO",8,1
"ANTONIO PIMENTEL PEREIRA","ANTONIO PIMENTEL",8,1
"ARTHUR DE OLIVEIRA MAIA DA SILVA","ARTHUR MAIA",8,1
"BENITO DA GAMA SANTOS","BENITO GAMA",8,1
"CARLITO FERREIRA PEREIRA DOS SANTOS","CARLITO FERREIRA",8,1
"CHE GUEVARA ANDRADE ORNELAS","CHE GUEVARA",3,1
"CLAUDIO CAJADO SAMPAIO","CLAUDIO CAJADO",8,1
"CLODOMIR BARRETO GOES","CLODOMIR GOES",8,1
"COLBERT MARTINS DA SILVA FILHO","COLBERT MARTINS",8,1
"CORIOLANO SOUSA SALES","CORIOLANO SALES (CORI)",8,1
"CRISTIANE DOS SANTOS BARROS","CRISTIANE",4,1
"DANIEL GOMES DE ALMEIDA","DANIEL ALMEIDA",7,1
"DELVACY BRANDAO SANTOS","DELVACY",8,1
"DERIVALDO JESUS DE ANDRADE","DERY ANDRADE",8,1
"DOMINGOS LEONELLI NETTO","LEONELLI",5,1
"DURVAL QUEIROZ ALVES NETO","NETO POBRE",8,1
"EDMILSON BISPO BARBOSA","EDMILSON BARBOSA",6,1
"EDMO DEL REI LIMA","EDMO LIMA",8,1
"EDNILTON OLIVEIRA FERREIRA","PROF ED BRASIL",8,1
"EDSON SAMPAIO PIMENTA","EDSON PIMENTA",4,1
"ELVE CARDOSO PONTES","DR. ELVE CARDOSO",8,1
"EMILIANO JOSE DA SILVA FILHO","EMILIANO",8,1
"ENIEDSON FERREIRA DOS SANTOS","ENIEDSON",6,1
"ERIVALDO XAVIER DOS SANTOS","XAVIER",6,1
"EVERALDO BISPO","EVERALDO BISPO",8,1
"EZEQUIEL FLORENCIO PINHEIRO","EZE",7,1
"FABIO LOUREIRO SOUTO","FABIO SOUTO",8,1
"FELIX DE ALMEIDA MENDONCA JUNIOR","FELIX JR",8,1
"FERNANDO DANTAS TORRES","FERNANDO TORRES",6,1
"FILADELFO PINTO MEIRELES NETO","FILADELFO NETO",8,1
"FRANCISCA INOCENCIA RODRIGUES","GRACA INOCENCIA",8,1
"FRANCISCO DOREA MIRES","CHICO MIRES",6,1
"FRANCISCO MARTINS ALENCAR","MARTINS ALENCAR",6,1
"FRANCISCO OTONI SALDANHA","OTONI",8,1
"GENEBALDO SOUZA CORREIA","GENEBALDO CORREIA",8,1
"GENIVALDO SANTOS MELO","GENI MELO",4,1
"GERALDO SIMOES DE OLIVEIRA","GERALDO SIMÕES",8,1
"GERALDO TENUTA FILHO","BISPO GÊ TENUTA",8,1
"GERSON SILVA GABRIELLI","GERSON GABRIELLI",8,1
"GERVASIO BATISTA CAMPOS","DR. GERVASIO",8,1
"GIVALDO FIUZA DE ALMEIDA","GIVALDO FIUZA GIL",7,1
"GIVANILDO DE JESUS BISPO","PAI GIL",7,1
"GLICERIO RAMOS","PASTOR RAMOS",6,1
"GRACA MARIA MASCARENHAS","GRACA MARIA",8,1
"GUSTAVO FERNANDES VIEIRA","DR. GUSTAVO VIEIRA",8,1
"HARRISON FREITAS DE LIMA","HARRISON",6,1
"HERZEM GUSMAO PEREIRA","HERZEM GUSMAO",8,1
"INACIO SANTOS CORREIA","INÁCIO CORREIA",4,1
"IVANDOILSON SANTOS ORRICO","ORRICO",6,1
"IVO BARRETO DO COUTO FILHO","IVO BARRETO",6,1
"IVO DOURADO DA MOTA","IVO DOURADO",6,1
"IVO JOSE DOS SANTOS","IVO DA TUBAINA",4,1
"JACIARA ZOZIMA DE OLIVEIRA SANTANA CHAGAS PARAISO","IRMA JACIARA",7,1
"JACINTO AMORIM DE SOUZA","JACINTO DA BAHIA",3,1
"JAILSON GONCALVES DA SILVA","JAILSON PLUZ",8,1
"JAIRO ALFREDO OLIVEIRA CARNEIRO","JAIRO CARNEIRO",8,1
"JAMAL YOUSSEF AMAD","DR. JAMAL",8,1
"JANIO NATAL ANDRADE BORGES","JÂNIO NATAL",6,1
"JOAO ALCIDES REIS DE FREITAS","JOAO ALCIADES",6,1
"JOAO CARLOS PAOLILO BACELAR FILHO","JOAO BACELAR",8,1
"JOCEVAL RODRIGUES DOS SANTOS","JOCEVAL RODRIGUES",6,1
"JONATAS NUNES LOPES","JONATAS",6,1
"JONIVAL LUCAS DA SILVA JUNIOR","JONIVAL LUCAS",8,1
"JORGE KHOURY HEDAYE","JORGE KHOURY",8,1
"JORGE LUIS ARAUJO COSTA","JOTA L",7,1
"JOSE ALVARO FRANCA RIOS","ALVARO RIOS",8,1
"JOSE ALVES ROCHA","JOSE ROCHA",8,1
"JOSE CARLOS DE JESUS RODRIGUES","ZÉ CARLOS DA PESCA",6,1
"JOSE CARLOS LEAO DE ARAUJO","JOSE CARLOS ARAUJO",7,1
"JOSE EDUARDO DA SILVA","PASTOR EDUARDO ALELUIA",6,1
"JOSE FERREIRA MARINHO","ROBERTO MARINHO",8,1
"JOSE FRANCISCO DA HORA","FH",6,1
"JOSE FRANCISCO DA SILVA","TIO DEDÉ",8,1
"JOSE MAURO RODRIGUES DOS SANTOS","ZE MAURO",4,1
"JOSEILSON ALVES DA SILVA","JOSEILSON",7,1
"JOSEPH WALLACE FARIA BANDEIRA","JOSEPH BANDEIRA",8,1
"JOSEVALDO OLIVEIRA DOS SANTOS","PASTOR JOSEVALDO",8,1
"JOSIAS GOMES DA SILVA","JOSIAS GOMES",8,1
"JOSIVALDO PEREIRA DA SILVA","PERNAMBUCO",6,1
"JOSE EDUARDO VIEIRA RIBEIRO","ZÉZEU",8,1
"JOSE LUIZ RESSURREICAO DOS SANTOS","PROFESSOR ZÉ LUIZ (DO CEFET)",8,1
"JOSE NUNES SOARES","JOSÉ NUNES",8,1
"JOSE PAULO CRISOSTOMO FERREIRA","ZÉ PAULO",4,1
"JOSE RAIMUNDO DE SOUZA","RAIMUNDO DE SOUZA",6,1
"JOAO ALMEIDA DOS SANTOS","JOÃO ALMEIDA",8,1
"JOAO BATISTA OLIVEIRA SOUZA","BATISTA DA SORVETERIA",6,1
"JOAO BOSCO BITTENCOURT","JOÃO BOSCO",8,1
"JOAO CARLOS SOBRAL MARTINS","CARLOS SOBRAL",8,1
"JOAO FELIPE DE SOUZA LEAO","JOÃO LEÃO",6,1
"JOAO LUIZ CORREIA ARGOLO DOS SANTOS","LUIZ ARGÔLO",7,1
"JUSSARA MARCIA DO NASCIMENTO","JUSSARA",6,1
"JUTAHY MAGALHAES JUNIOR","JUTAHY MAGALHÃES JÚNIOR",8,1
"KARLUCIA CRISOSTOMO MACEDO ANTONIO","KARLÚCIA MACÊDO",8,1
"KLEBER DE CARVALHO","KLEBER BOCÃO",8,1
"LAZARO SILVA DE JESUS","SOLDADO JESUS",7,1
"LEONARDO DIAS SANTOS","LEONARDO DIAS",8,1
"LORIVALDO CARDOSO NEVES","LORO NEVES",8,1
"LOURIVAL MANOEL DO BONFIM","LOURIVAL COMPANHEIRO",6,1
"LUCIANO FRED BRAGA PENHA","PR LUCIANO",7,1
"LUCIO QUADROS VIEIRA LIMA","LUCIO VIEIRA LIMA",8,1
"LUCYHELTON CARLOS DOS ANJOS COSTA","TICAR",7,1
"LUIZ ANTONIO VASCONCELOS CARREIRA","LUIZ CARREIRA",8,1
"LUIZ BARBOSA DE DEUS","LUIZ DE DEUS",8,1
"LUIZ CARLOS BRAITT SOARES","LUIZ BRAITT",4,1
"LUIZ SERGIO SUZARTE ALMEIDA","SERGIO DA GAMELEIRA",8,1
"MANOEL DA PAIXAO RAMOS","MANOEL DA PAIXÃO",6,1
"MANOEL DE MOURA VASCONCELOS","MANOEL VASCONCELOS",8,1
"MANUEL AZEVEDO ROCHA","MANUEL ROCHA",8,1
"MARA LUCIA PEREIRA ROLLO","MARA ROLLO",6,1
"MARCELO DA SILVA SANTOS","MARCELO GUEDES",4,1
"MARCELO DE OLIVEIRA GUIMARAES FILHO","MARCELO GUIMARÃES",8,1
"MARCIA SILVA DA CUNHA","SARGENTO MARCIA CUNHA",7,1
"MARCOS ANTONIO MEDRADO","MARCOS MEDRADO",8,1
"MARCOS PINHEIRO DOS SANTOS","MARCOS PINHEIRO",7,1
"MARIA GENIR RODRIGUES SANTOS","GENIR",4,1
"MARIA LUCIA DE SANTANA GUTEMBERG","LUCIA GUTEMBERG",6,1
"MARIA RITA ESTEVAM DOS SANTOS","TIA RITA",4,1
"MARIA SUSANA DE SOBRAL PEREIRA","MARIA SUSANA",6,1
"MARIO CESAR DA SILVA LIMA","MARIO LIMA",8,1
"MARIVALDO BISPO DA PAIXAO","MARROM",6,1
"MATEUS FERREIRA DOS SANTOS","MATEUS FERREIRA",7,1
"MAURICIO GONCALVES TRINDADE","MAURICIO TRINDADE",8,1
"MILTON JOAO SOARES BARBOSA","MILTON BARBOSA",7,1
"MARCIO CARLOS MARINHO","MÁRCIO MARINHO",6,1
"MARIO SILVIO MENDES NEGROMONTE","MÁRIO NEGROMONTE",8,1
"NELSON VICENTE PORTELA PELLEGRINO","PELEGRINO",8,1
"NERIVALDO DO ESPIRITO SANTO DOS SANTOS","NERY VENDEDOR",6,1
"NILO ROSA DOS SANTOS","PROFESSOR NILO ROSA",8,1
"NINA DEREVTSOFF","NININHA",6,1
"NIVALDO TEIXEIRA LIMA FILHO","NIVALDO TEIXEIRA",6,1
"NOEL PEDREIRA DOS SANTOS","NOEL PEDREIRA",5,1
"NONATO CARVALHO LEITE","NONATO LEITE",5,1
"OLINDA MACEDO OLIVEIRA","OLINDA",7,1
"ONEZILDA MARIA LIMA SORIANO","ZILDA SORIANO",8,1
"ORLANDO BARBOSA DOS SANTOS","ORLANDO BARBOSA",6,1
"ORLANDO COLAVOLPE","DR. COLAVOLPE",8,1
"OTAVIO JOEL DE ARAUJO","SARGENTO JOEL",8,1
"OZIEL ALVES DE OLIVEIRA","OZIEL OLIVEIRA",8,1
"PAULO BRAGA MIRANDA","PAULO BRAGA",6,1
"PAULO ROBERTO BRITO","PAULO ROBERTO CIGANO DO BRASIL",6,1
"PEDRO LUCIO MACHADO BARRETO","BARRIGA",7,1
"PEDRO SOUZA DOS SANTOS","PEDRINHO PEPÊ",4,1
"RAIMUNDO NONATO TANURI BENTO","CABO TANURI",6,1
"RAIMUNDO PASSOS DO NASCIMENTO","LEO PASSOS",6,1
"RAYMUNDO VELOSO SILVA","RAYMUNDO VELOSO",8,1
"REINALDO SATURNINO DA COSTA","REINALDO DA GRAFICA",6,1
"RENATO SANTOS PEREIRA","RENATO SANTOS",6,1
"RICARDO FEIGL CAMARA","CORONEL RICARDO",8,1
"RILDO SANTOS SOUZA","SARGENTO RILDO",7,1
"RIVAILTON RIBEIRO VELOSO DA SILVA","RIVAILTON VELOSO",8,1
"ROBERTO PEREIRA DE BRITTO","ROBERTO BRITTO",8,1
"ROBSON ALEXANDRE ALVES DE OLIVEIRA","PROFESSOR ROBSON ALEXANDRE",8,1
"ROBSON RAMOS ARAUJO","ROBSON ARAUJO",6,1
"ROGERIO LEANDRO DE JESUS SANTOS","ROGERIO LEANDRO",6,1
"RONALDO DE CERQUEIRA","RONALDO",6,1
"RONIVON DE SOUZA","RONI DE SOUZA",6,1
"ROQUE MENEZES DIAS","ROQUE MENEZES",6,1
"ROSANGELA LIMA ROCHA","ROSA ROCHA",8,1
"RUI COSTA DOS SANTOS","RUI COSTA",8,1
"SANDOVAL SOUZA GUIMARAES","SANDOVAL GUIMARÃES",8,1
"SARA QUEIROZ DOS SANTOS","SARA SANTOS",3,1
"SAULO PEDROSA DE ALMEIDA","SAULO PEDROSA",8,1
"SEGIO LUIS LACERDA BRITO","SERGIO BRITO",8,1
"SELMA CRISTINA FERREIRA SILVA","PROFESSORA SELMA",7,1
"SERGIO BARRADAS CARNEIRO","SERGIO BARRADAS CARNEIRO",8,1
"SEVERIANO ALVES DE SOUZA","SEVERIANO ALVES",8,1
"SINVAL MOTA MASCARENHAS","SINVAL",8,1
"TADASHI SHISHITO","TADASHI",7,1
"TEREZA CRISTINA GIFFONI VIEIRA","DRA TEREZA",8,1
"UBIRAJARA TAVARES GOMES DOS SANTOS","BIRA DO JEGUE",4,1
"ULDURICO ALVES PINTO","ULDURICO PINTO",8,1
"VALDEMAR MARTINHO HORTA JUNIOR","VALDEMAR HORTA",6,1
"VALDER ANDRADE CARVALHO","VALDER IMOBILARIA",6,1
