"numLegislatura","ideCadastro","Nome Parlamentar","Nome","dataNascimento","sexo","partidoAtual","ufRepresentacaoAtual","nomeProfissao","email"
"54","169712","ALEXANDRE TOLEDO","ALEXANDRE DE MELO TOLEDO","28/03/1956","M","PSB","AL","

    ","dep.alexandretoledo@camara.gov.br"
"54","74830","ALEXANDRE SANTOS","ALEXANDRE JOSE DOS SANTOS","04/09/1954","M","PMDB","RJ","Empresário","dep.alexandresantos@camara.gov.br"
"54","160545","ALEXANDRE LEITE","ALEXANDRE LEITE DA SILVA","18/04/1989","M","DEM","SP","Empresário","dep.alexandreleite@camara.gov.br"
"54","160579","ALEXANDRE ROSO","ALEXANDRE RUBIO ROSO","12/11/1964","M","PSB","RS","Médico","dep.alexandreroso@camara.gov.br"
"54","141374","ALEXANDRE SILVEIRA","ALEXANDRE SILVEIRA DE OLIVEIRA","15/07/1970","M","PSD","MG","COMERCIANTE, FUNCIONÁRIO PÚBLICO","dep.alexandresilveira@camara.gov.br"
"54","116663","ALFREDO SIRKIS","ALFREDO HELIO SYRKIS","08/12/1950","M","PSB","RJ","Jornalista","dep.alfredosirkis@camara.gov.br"
"54","74057","ALICE PORTUGAL","ALICE MAZZUCO PORTUGAL","16/05/1959","F","PCdoB","BA","Química Industrial e Farmacêutica Bioquímica","dep.aliceportugal@camara.gov.br"
"54","141375","ALINE CORREA","ALINE LEMOS CORREA DE OLIVEIRA ANDRADE","25/03/1973","F","PP","SP","Empresária","dep.alinecorrea@camara.gov.br"
"54","160529","DR. ALUIZIO","ALUIZIO DOS SANTOS JUNIOR","13/07/1968","M","PV","RJ","Médico","dep.dr.aluizio@camara.gov.br"
"54","160603","AMAURI TEIXEIRA","AMAURI SANTOS TEIXEIRA","01/12/1957","M","PT","BA","Auditor-fiscal","dep.amauriteixeira@camara.gov.br"
"54","174861","AMIR LANDO","AMIR FRANCISCO LANDO","25/04/1944","M","PMDB","RO","

    ","dep.amirlando@camara.gov.br"
"54","141377","ANA ARRAES","ANA LUCIA ARRAES DE ALENCAR","28/07/1947","F","PSB","PE","Advogado","dep.anaarraes@camara.gov.br"
"54","160551","ANDERSON FERREIRA","ANDERSON FERREIRA RODRIGUES","10/12/1972","M","PR","PE","

    ","dep.andersonferreira@camara.gov.br"
"54","74471","ANDRE DE PAULA","ANDRE CARLOS ALVES DE PAULA FILHO","22/07/1961","M","PSD","PE","Advogado.","dep.andredepaula@camara.gov.br"
"54","160543","ANDRE MOURA","ANDRE LUIS DANTAS FERREIRA","23/02/1972","M","PSC","SE","Político","dep.andremoura@camara.gov.br"
"54","141378","ANDRE VARGAS","ANDRE LUIZ VARGAS ILARIO","02/03/1964","M","PT","PR","Comerciante","dep.andrevargas@camara.gov.br"
"54","133439","ANDRE FIGUEIREDO","ANDRE PEIXOTO FIGUEIREDO LIMA","10/11/1966","M","PDT","CE","Advogado, Economista, Empresário","dep.andrefigueiredo@camara.gov.br"
"54","161905","ANDRE DIAS","ANDRE TEIXEIRA DIAS","12/12/1960","M","PSDB","PA","

    ","dep.andredias@camara.gov.br"
"54","74377","ANDRE ZACHAROW","ANDRE ZACHAROW","07/07/1939","M","PMDB","PR","Advogado, Economista, Professor","dep.andrezacharow@camara.gov.br"
"54","141379","ANDREIA ZITO","ANDREIA ALMEIDA ZITO DOS SANTOS","13/07/1974","F","PSDB","RJ","Bacharel em Direito","dep.andreiazito@camara.gov.br"
"54","141381","ANGELO VANHONI","ANGELO CARLOS VANHONI","19/06/1955","M","PT","PR","BANCÁRIO","dep.angelovanhoni@camara.gov.br"
"54","74212","ANIBAL GOMES","ANIBAL FERREIRA GOMES","07/06/1953","M","PMDB","CE","Cirurgião-Dentista e Agropecuarista","dep.anibalgomes@camara.gov.br"
"54","73937","ANSELMO DE JESUS","ANSELMO DE JESUS ABREU","25/12/1952","M","PT","RO","AGRICULTOR","dep.anselmodejesus@camara.gov.br"
"54","160539","ANTHONY GAROTINHO","ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA","18/04/1960","M","PR","RJ","Radialista","dep.anthonygarotinho@camara.gov.br"
"54","123756","ANTONIA LUCIA","ANTONIA LUCILEIA CRUZ RAMOS CAMARA","17/07/1970","F","PSC","AC","Economista","dep.antonialucia@camara.gov.br"
"54","74213","ANTONIO BALHMANN","ANTONIO BALHMANN CARDOSO NUNES FILHO","22/08/1949","M","PROS","CE","Engenheiro Mecânico","dep.antoniobalhmann@camara.gov.br"
"54","74373","BIFFI","ANTONIO CARLOS BIFFI","09/03/1952","M","PT","MS","PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS","dep.biffi@camara.gov.br"
"54","73584","ANTONIO CARLOS MENDES THAME","ANTONIO CARLOS DE MENDES THAME","13/06/1946","M","PSDB","SP","Professor Universitário.","dep.antoniocarlosmendesthame@camara.gov.br"
"54","141383","ANTONIO BULHOES","ANTONIO CARLOS MARTINS DE BULHOES","05/05/1968","M","PRB","SP","Apresentador de Televisão, Administrador, Teólogo e Bispo Evangélico","dep.antoniobulhoes@camara.gov.br"
"54","74058","ANTONIO CARLOS MAGALHAES NETO","ANTONIO CARLOS PEIXOTO DE MAGALHAES NETO","26/01/1979","M","DEM","BA","Advogado","dep.antoniocarlosmagalhaesneto@camara.gov.br"
"54","141384","VALADARES FILHO","ANTONIO CARLOS VALADARES FILHO","01/10/1980","M","PSB","SE","ADMINISTRADOR DE EMPRESAS","dep.valadaresfilho@camara.gov.br"
"54","74016","COSTA FERREIRA","ANTONIO DA CONCEICAO COSTA FERREIRA","28/07/1939","M","PSC","MA","Advogado, Torneiro Mecânico e Professor","dep.costaferreira@camara.gov.br"
"54","141385","DUARTE NOGUEIRA","ANTONIO DUARTE NOGUEIRA JUNIOR","16/05/1964","M","PSDB","SP","Agricultor, Pecuarista e Engenheiro Agrônomo","dep.duartenogueira@camara.gov.br"
"54","141386","EUDES XAVIER","ANTONIO EUDES XAVIER","11/09/1964","M","PT","CE","Comerciário","dep.eudesxavier@camara.gov.br"
"54","141387","ANTONIO ANDRADE","ANTONIO EUSTAQUIO ANDRADE FERREIRA","18/06/1953","M","PMDB","MG","Engenheiro Civil e Produtor Rural","dep.antonioandrade@camara.gov.br"
"54","160530","ANTONIO IMBASSAHY","ANTONIO JOSE IMBASSAHY DA SILVA","12/03/1948","M","PSDB","BA","Engenheiro Eletricista","dep.antonioimbassahy@camara.gov.br"
"54","160553","ANTONIO BRITO","ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO","17/01/1969","M","PTB","BA","Administrador de Empresas","dep.antoniobrito@camara.gov.br"
"54","160611","TONINHO PINHEIRO","ANTONIO PINHEIRO JUNIOR","23/04/1960","M","PP","MG","Comerciante","dep.toninhopinheiro@camara.gov.br"
"54","141390","ANTONIO ROBERTO","ANTONIO ROBERTO SOARES","20/06/1942","M","PV","MG","CONSULTOR EMPRESARIAL EM COMPORTAMENTO HUMANO, ADMINISTRADOR","dep.antonioroberto@camara.gov.br"
"54","74648","ARACELY DE PAULA","ARACELY DE PAULA","03/05/1941","M","PR","MG","Advogado","dep.aracelydepaula@camara.gov.br"
"54","73433","ARLINDO CHINAGLIA","ARLINDO CHIGNALIA JUNIOR","24/12/1949","M","PT","SP","Médico","dep.arlindochinaglia@camara.gov.br"
"54","74405","ARMANDO ABILIO","ARMANDO ABILIO VIEIRA","29/12/1944","M","PTB","PB","Médico","dep.armandoabilio@camara.gov.br"
"54","160546","ARMANDO VERGILIO","ARMANDO VERGILIO DOS SANTOS JUNIOR","03/08/1965","M","SD","GO","Corretor de Seguros","dep.armandovergilio@camara.gov.br"
"54","141391","ARNALDO JARDIM","ARNALDO CALIL PEREIRA JARDIM","08/05/1955","M","PPS","SP","Engeheiro Civil e Professor","dep.arnaldojardim@camara.gov.br"
"54","73434","ARNALDO FARIA DE SA","ARNALDO FARIA DE SA","30/12/1945","M","PTB","SP","Contabilista, Radialista, Professor e Advogado","dep.arnaldofariadesa@camara.gov.br"
"54","160602","ARNALDO JORDY","ARNALDO JORDY FIGUEIREDO","30/11/1958","M","PPS","PA","Político","dep.arnaldojordy@camara.gov.br"
"54","74833","AROLDE DE OLIVEIRA","AROLDE DE OLIVEIRA","11/03/1937","M","PSD","RJ","Engenheiro, Economista e Professor","dep.aroldedeoliveira@camara.gov.br"
"54","160541","ARTHUR LIRA","ARTHUR CESAR PEREIRA DE LIRA","25/06/1969","M","PP","AL","Agropecuarista, Bacharel em Direito, Empresário","dep.arthurlira@camara.gov.br"
"54","160600","ARTHUR OLIVEIRA MAIA","ARTHUR DE OLIVEIRA MAIA DA SILVA","17/08/1964","M","SD","BA","Advogado","dep.arthuroliveiramaia@camara.gov.br"
"54","160678","ARTUR BRUNO","ARTUR JOSE VIEIRA BRUNO","04/08/1959","M","PT","CE","Educador","dep.arturbruno@camara.gov.br"
"54","74222","ASDRUBAL BENTES","ASDRUBAL MENDES BENTES","27/07/1939","M","PMDB","PA","Advogado e Servidor Público","dep.asdrubalbentes@camara.gov.br"
"54","160581","ASSIS MELO","ASSIS FLAVIO DA SILVA MELO","14/09/1962","M","PCdoB","RS","Metalúrgico","dep.assismelo@camara.gov.br"
"54","74378","ASSIS DO COUTO","ASSIS MIGUEL DO COUTO","17/10/1961","M","PT","PR","AGRICULTOR","dep.assisdocouto@camara.gov.br"
"54","74459","ATILA LIRA","ATILA FREITAS LIRA","07/04/1947","M","PSB","PI","Administrador de Empresas e Economista","dep.atilalira@camara.gov.br"
"54","74090","ATILA LINS","ATILA SIDNEY LINS ALBUQUERQUE","22/11/1950","M","PSD","AM","Bacharel em Direito, graduado pela Universidade Federal do Amazonas em 1.976; Advogado com inscrição na OAB/AM nº 1.000 ; Bacharel em Economia, graduado pela Universidade Federal do Amazonas em 1.986; Auditor Concursado do TCE/AM, 1.977","dep.atilalins@camara.gov.br"
"54","160680","AUDIFAX","AUDIFAX CHARLES PIMENTEL BARCELOS","09/05/1964","M","PSB","ES","Administrador, Economista","dep.audifax@camara.gov.br"
"54","160665","AUGUSTO COUTINHO","AUGUSTO RODRIGUES COUTINHO DE MELO","22/10/1962","M","SD","PE","Engenheiro Civil","dep.augustocoutinho@camara.gov.br"
"54","73655","AUGUSTO CARVALHO","AUGUSTO SILVEIRA DE CARVALHO","27/07/1953","M","SD","DF","

    ","dep.augustocarvalho@camara.gov.br"
"54","160512","AUREO","AUREO LIDIO MOREIRA RIBEIRO","17/02/1979","M","SD","RJ","Empresário","dep.aureo@camara.gov.br"
"54","73701","BENEDITA DA SILVA","BENEDITA SOUZA DA SILVA SAMPAIO","26/04/1942","F","PT","RJ","Assistente Social, Auxiliar de Enfermagem, Professor, Servidor Público","dep.beneditadasilva@camara.gov.br"
"54","74040","BENJAMIN MARANHAO","BENJAMIN GOMES MARANHAO NETO","30/11/1971","M","SD","PB","Cirurgião-Dentista","dep.benjaminmaranhao@camara.gov.br"
"54","73464","OLIVEIRA FILHO","BERNARDINO BARRETO DE OLIVEIRA","15/04/1957","M","PRB","PR","

    ","dep.oliveirafilho@camara.gov.br"
"54","109152","BERNARDO SANTANA DE VASCONCELLOS","BERNARDO DE VASCONCELLOS MOREIRA","08/12/1975","M","PR","MG","Advogado","dep.bernardosantanadevasconcellos@camara.gov.br"
"54","74650","BONIFACIO DE ANDRADA","BONIFACIO JOSE TAMM DE ANDRADA","14/05/1930","M","PSDB","MG","ADVOGADO E PROFESSOR UNIVERSITÁRIO","dep.bonifaciodeandrada@camara.gov.br"
"54","160589","BRUNA FURLAN","BRUNA DIAS FURLAN","28/04/1983","F","PSDB","SP","

    ","dep.brunafurlan@camara.gov.br"
"54","141394","BRUNO ARAUJO","BRUNO CAVALCANTI DE ARAUJO","15/03/1972","M","PSDB","PE","ADVOGADO","dep.brunoaraujo@camara.gov.br"
"54","141395","CAMILO COLA","CAMILO COLA","26/07/1923","M","PMDB","ES","

    ","dep.camilocola@camara.gov.br"
"54","141396","CANDIDO VACCAREZZA","CANDIDO ELPIDIO DE SOUZA VACCAREZZA","26/09/1955","M","PT","SP","Médico Ginecologista e Obstetra","dep.candidovaccarezza@camara.gov.br"
"54","160585","CARLAILE PEDROSA","CARLAILE JESUS PEDROSA","03/10/1950","M","PSDB","MG","Comerciante","dep.carlailepedrosa@camara.gov.br"
"54","73934","CARLOS SOUZA","CARLOS ALBERTO CAVALCANTE DE SOUZA","17/08/1952","M","PSD","AM","Biólogo, Professor, Radialista","dep.carlossouza@camara.gov.br"
"54","74321","BETINHO ROSADO","CARLOS ALBERTO DE SOUSA ROSADO","23/12/1948","M","PP","RN","Professor Universitário, Engenheiro Agrônomo e Economista","dep.betinhorosado@camara.gov.br"
"54","74290","CARLOS ALBERTO LEREIA","CARLOS ALBERTO LEREIA DA SILVA","19/06/1961","M","PSDB","GO","Radialista","dep.carlosalbertolereia@camara.gov.br"
"54","118384","DR. CARLOS ALBERTO","CARLOS ALBERTO LOPES","29/09/1945","M","PMN","RJ","

    ","dep.dr.carlosalberto@camara.gov.br"
"54","141398","CARLOS ZARATTINI","CARLOS ALBERTO ROLIM ZARATTINI","08/06/1959","M","PT","SP","ECONOMISTA","dep.carloszarattini@camara.gov.br"
"54","141399","BRIZOLA NETO","CARLOS DAUDT BRIZOLA","11/10/1978","M","PDT","RJ","

    ","dep.brizolaneto@camara.gov.br"
"54","74651","CARLOS MELLES","CARLOS DO CARMO ANDRADE MELLES","11/03/1947","M","DEM","MG","Engenheiro Agrônomo e Empresário","dep.carlosmelles@camara.gov.br"
"54","74474","CARLOS EDUARDO CADOCA","CARLOS EDUARDO CINTRA DA COSTA PEREIRA","23/04/1940","M","PCdoB","PE","Advogado","dep.carloseduardocadoca@camara.gov.br"
"54","73945","EDUARDO GOMES","CARLOS EDUARDO TORRES GOMES","28/04/1966","M","SD","TO","SERVIDOR PUBLICO ESTADUAL","dep.eduardogomes@camara.gov.br"
"54","141400","VIEIRA DA CUNHA","CARLOS EDUARDO VIEIRA DA CUNHA","31/03/1960","M","PDT","RS","PROCURADOR DE JUSTIÇA","dep.vieiradacunha@camara.gov.br"
"54","141401","CARLOS BEZERRA","CARLOS GOMES BEZERRA","04/11/1941","M","PMDB","MT","Industrial, Advogado e Professor","dep.carlosbezerra@camara.gov.br"
"54","74262","CARLOS SAMPAIO","CARLOS HENRIQUE FOCESI SAMPAIO","31/03/1963","M","PSDB","SP","Promotor de Justiça.","dep.carlossampaio@camara.gov.br"
"54","74163","MANATO","CARLOS HUMBERTO MANNATO","07/08/1957","M","SD","ES","MEDICO","dep.manato@camara.gov.br"
"54","160584","CARLINHOS ALMEIDA","CARLOS JOSE DE ALMEIDA","25/06/1963","M","PT","SP","Professor","dep.carlinhosalmeida@camara.gov.br"
"54","160605","CARLOS MAGNO","CARLOS MAGNO RAMOS","16/06/1958","M","PP","RO","Técnico em Agropecuária","dep.carlosmagno@camara.gov.br"
"54","73588","MAURO BENEVIDES","CARLOS MAURO CABRAL BENEVIDES","21/03/1930","M","PMDB","CE","ADVOGADO, PROFESSOR, ADMINISTRADOR E

JORNALISTA","dep.maurobenevides@camara.gov.br"
"54","141402","CARLOS BRANDAO","CARLOS ORLEANS BRANDAO JUNIOR","02/06/1958","M","PSDB","MA","FUNCIONÁRIO PÚBLICO, EMPRESÁRIO","dep.carlosbrandao@camara.gov.br"
"54","165583","CARLOS ROBERTO","CARLOS ROBERTO DE CAMPOS","25/12/1955","M","PSDB","SP","Industrial","dep.carlosroberto@camara.gov.br"
"54","141403","RATINHO JUNIOR","CARLOS ROBERTO MASSA JUNIOR","19/04/1981","M","PSC","PR","Empresário, Diretor de Empresas e Comunicador","dep.ratinhojunior@camara.gov.br"
"54","164360","CARMEN ZANOTTO","CARMEN EMILIA BONFA ZANOTTO","06/10/1962","F","PPS","SC","Enfermeira","dep.carmenzanotto@camara.gov.br"
"54","160624","CELIA ROCHA","CELIA MARIA BARBOSA ROCHA","29/10/1952","F","PTB","AL","Médico","dep.celiarocha@camara.gov.br"
"54","73568","CELSO JACOB","CELSO ALENCAR RAMOS JACOB","19/01/1957","M","PMDB","RJ","

    ","dep.celsojacob@camara.gov.br"
"54","141405","CELSO MALDANER","CELSO MALDANER","30/08/1953","M","PMDB","SC","ECONOMISTA, EMPRESÁRIO","dep.celsomaldaner@camara.gov.br"
"54","160576","CESAR HALUM","CESAR HANNA HALUM","10/03/1954","M","PRB","TO","Médico Veterinário","dep.cesarhalum@camara.gov.br"
"54","160664","CESAR COLNAGO","CESAR ROBERTO COLNAGHI","22/07/1958","M","PSDB","ES","Médico","dep.cesarcolnago@camara.gov.br"
"54","74379","CEZAR SILVESTRI","CEZAR AUGUSTO CAROLLO SILVESTRI","01/08/1954","M","PPS","PR","ENGENHEIRO","dep.cezarsilvestri@camara.gov.br"
"54","160557","CLAUDIO PUTY","CLAUDIO ALBERTO CASTELO BRANCO PUTY","02/08/1970","M","PT","PA","Economista, Eletricitário, Professor Universitário","dep.claudioputy@camara.gov.br"
"54","74537","CLAUDIO CAJADO","CLAUDIO CAJADO SAMPAIO","01/12/1963","M","DEM","BA","Advogado","dep.claudiocajado@camara.gov.br"
"54","141408","CLEBER VERDE","CLEBER VERDE CORDEIRO MENDES","10/05/1972","M","PRB","MA","Vendedor Autônomo, Professor, Servidor Público, Político e Bacharel em Direito","dep.cleberverde@camara.gov.br"
"54","160614","ROSANE FERREIRA","CLEUSA ROSANE RIBAS FERREIRA","31/07/1963","F","PV","PR","Enfermeira","dep.rosaneferreira@camara.gov.br"
"54","74230","COLBERT MARTINS","COLBERT MARTINS DA SILVA FILHO","02/10/1952","M","PMDB","BA","Médico","dep.colbertmartins@camara.gov.br"
"54","114586","CRISTIANO","CRISTIANO JOSE RODRIGUES DE SOUZA","23/03/1978","M","PTdoB","RJ","Técnico em Contabilidade","dep.cristiano@camara.gov.br"
"54","74467","DAMIAO FELICIANO","DAMIAO FELICIANO DA SILVA","28/04/1952","M","PDT","PB","Médico, Empresário e Radialista","dep.damiaofeliciano@camara.gov.br"
"54","74060","DANIEL ALMEIDA","DANIEL GOMES DE ALMEIDA","21/01/1955","M","PCdoB","BA","Industriário","dep.danielalmeida@camara.gov.br"
"54","160528","DANILO CABRAL","DANILO JORGE DE BARROS CABRAL","21/04/1967","M","PSB","PE","Advogado","dep.danilocabral@camara.gov.br"
"54","160552","DANRLEI DE DEUS HINTERHOLZ","DANRLEI DE DEUS HINTERHOLZ","18/04/1973","M","PSD","RS","Atleta Profissional de Futebol","dep.danrleidedeushinterholz@camara.gov.br"
"54","73891","DARCISIO PERONDI","DARCISIO PAULO PERONDI","02/04/1947","M","PMDB","RS","Médico","dep.darcisioperondi@camara.gov.br"
"54","141412","DAVI ALVES SILVA JUNIOR","DAVI ALVES SILVA JUNIOR","22/11/1976","M","PR","MA","

    ","dep.davialvessilvajunior@camara.gov.br"
"54","73924","DAVI ALCOLUMBRE","DAVID SAMUEL ALCOLUMBRE TOBELEM","19/06/1977","M","DEM","AP","COMERCIANTE","dep.davialcolumbre@camara.gov.br"
"54","141413","DECIO LIMA","DECIO NERY DE LIMA","01/10/1960","M","PT","SC","Professor de Ensino Médio e Advogado","dep.deciolima@camara.gov.br"
"54","74264","DEVANIR RIBEIRO","DEVANIR RIBEIRO","02/02/1944","M","PT","SP","APOSENTADO (EXCETO SERVIDOR PUBLICO)","dep.devanirribeiro@camara.gov.br"
"54","160588","DIEGO ANDRADE","DIEGO LEONARDO DE ANDRADE CARVALHO","08/08/1977","M","PSD","MG","Administrador de Empresas","dep.diegoandrade@camara.gov.br"
"54","73768","DILCEU SPERAFICO","DILCEU JOAO SPERAFICO","26/01/1948","M","PP","PR","Industrial, Bacharel em Direito, Filósofo e Agropecuarista","dep.dilceusperafico@camara.gov.br"
"54","170489","DR. DILSON DRUMOND","DILSON MALHEIROS DRUMOND","06/03/1947","M","PDT","RJ","

    ","dep.dr.dilsondrumond@camara.gov.br"
"54","74265","DIMAS RAMALHO","DIMAS EDUARDO RAMALHO","13/08/1954","M","PPS","SP","MEMBRO DO MINISTERIO PUBLICO","dep.dimasramalho@camara.gov.br"
"54","160599","DIMAS FABIANO","DIMAS FABIANO TOLEDO JUNIOR","23/05/1973","M","PP","MG","

    ","dep.dimasfabiano@camara.gov.br"
"54","160535","MARCON","DIONILSO MATEUS MARCON","21/09/1964","M","PT","RS","Agricultor","dep.marcon@camara.gov.br"
"54","74197","DOMINGOS DUTRA","DOMINGOS FRANCISCO DUTRA FILHO","20/03/1956","M","SD","MA","ADVOGADO","dep.domingosdutra@camara.gov.br"
"54","143632","DOMINGOS NETO","DOMINGOS GOMES DE AGUIAR NETO","29/04/1988","M","PROS","CE","Estudante universitário","dep.domingosneto@camara.gov.br"
"54","160758","DOMINGOS SAVIO","DOMINGOS SAVIO CAMPOS RESENDE","25/03/1957","M","PSDB","MG","Médico Veterinário","dep.domingossavio@camara.gov.br"
"54","141417","EDIO LOPES","EDIO VIEIRA LOPES","04/01/1952","M","PMDB","RR","Servidor Público","dep.ediolopes@camara.gov.br"
"54","160616","EDIVALDO HOLANDA JUNIOR","EDIVALDO DE HOLANDA BRAGA JUNIOR","01/07/1978","M","PTC","MA","Bacharel em Direito, Empresário","dep.edivaldoholandajunior@camara.gov.br"
"54","74580","EDMAR MOREIRA","EDMAR BATISTA MOREIRA","25/09/1939","M","PTB","MG","Empresário e Produtor Rural","dep.edmarmoreira@camara.gov.br"
"54","160578","EDMAR ARRUDA","EDMAR DE SOUZA ARRUDA","26/09/1959","M","PSC","PR","Economista","dep.edmararruda@camara.gov.br"
"54","141418","EDSON APARECIDO","EDSON APARECIDO DOS SANTOS","15/09/1957","M","PSDB","SP","HISTORIADOR","dep.edsonaparecido@camara.gov.br"
"54","73793","EDINHO BEZ","EDSON BEZ DE OLIVEIRA","06/03/1950","M","PMDB","SC","Contador e Bancário","dep.edinhobez@camara.gov.br"
"54","73447","EDINHO ARAUJO","EDSON EDINHO COELHO ARAUJO","30/07/1949","M","PMDB","SP","Advogado, Professor","dep.edinhoaraujo@camara.gov.br"
"54","74838","EDSON EZEQUIEL","EDSON EZEQUIEL DE MATOS","13/07/1945","M","PMDB","RJ","Engenheiro e Professor  Universitário","dep.edsonezequiel@camara.gov.br"
"54","160562","GIROTO","EDSON GIROTO","23/09/1959","M","PR","MS","Engenheiro Civil","dep.giroto@camara.gov.br"
"54","160618","EDSON PIMENTA","EDSON SAMPAIO PIMENTA","11/12/1963","M","PSD","BA","Agricultor","dep.edsonpimenta@camara.gov.br"
"54","141419","EDSON SANTOS","EDSON SANTOS DE SOUZA","21/07/1954","M","PT","RJ","

    ","dep.edsonsantos@camara.gov.br"
"54","74106","EDSON SILVA","EDSON SILVA","09/05/1949","M","PROS","CE","Bancário, Jornalista, Radialista","dep.edsonsilva@camara.gov.br"
"54","160647","EDUARDO AZEREDO","EDUARDO BRANDAO DE AZEREDO","09/09/1948","M","PSDB","MG","Analista de Sistemas, Engenheiro Mecânico","dep.eduardoazeredo@camara.gov.br"
"54","74173","EDUARDO CUNHA","EDUARDO COSENTINO DA CUNHA","29/09/1958","M","PMDB","RJ","ECONOMISTA","dep.eduardocunha@camara.gov.br"
"54","74382","EDUARDO SCIARRA","EDUARDO FRANCISCO SCIARRA","05/10/1952","M","PSD","PR","ENGENHEIRO","dep.eduardosciarra@camara.gov.br"
"54","141421","EDUARDO DA FONTE","EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA","17/10/1972","M","PP","PE","EMPRESÁRIO","dep.eduardodafonte@camara.gov.br"
"54","74655","EDUARDO BARBOSA","EDUARDO LUIZ BARROS BARBOSA","25/08/1958","M","PSDB","MG","Médico","dep.eduardobarbosa@camara.gov.br"
"54","141422","EFRAIM FILHO","EFRAIM DE ARAUJO MORAIS FILHO","18/03/1979","M","DEM","PB","ADVOGADO","dep.efraimfilho@camara.gov.br"
"54","166727","DRA. ELAINE ABISSAMRA","ELAINE APARECIDA BELLONI ABISSAMRA","08/01/1956","F","PSB","SP","

    ","dep.dra.elaineabissamra@camara.gov.br"
"54","74075","ELCIONE BARBALHO","ELCIONE THEREZINHA ZAHLUTH BARBALHO","05/10/1944","F","PMDB","PA","Pedagoga","dep.elcionebarbalho@camara.gov.br"
"54","154919","ELEUSES PAIVA","ELEUSES VIEIRA DE PAIVA","13/06/1953","M","PSD","SP","

    ","dep.eleusespaiva@camara.gov.br"
"54","162175","ELIANE ROLIM","ELIANE PONTES ROLIM","10/02/1964","F","PT","RJ","

    ","dep.elianerolim@camara.gov.br"
"54","141423","ELIENE LIMA","ELIENE JOSE DE LIMA","09/09/1955","M","PSD","MT","Engenheiro Civil e Professor","dep.elienelima@camara.gov.br"
"54","73892","ELISEU PADILHA","ELISEU LEMOS PADILHA","23/12/1945","M","PMDB","RS","ADVOGADO","dep.eliseupadilha@camara.gov.br"
"54","160538","BOHN GASS","ELVINO JOSE BOHN GASS","05/02/1962","M","PT","RS","Agricultor Familiar, Professor de História","dep.bohngass@camara.gov.br"
"54","74119","EMANUEL FERNANDES","EMANUEL FERNANDES","06/03/1956","M","PSDB","SP","Engenheiro Aeronáutico","dep.emanuelfernandes@camara.gov.br"
